time,ssh,system,kernel,containers
1714560414,0,0,0,0
1714560415,0,0.9989,0,0
1714560416,0,0,0,0
1714560417,0,0,0.9026,0
1714560418,0,0.885,0.8827,0
1714560419,0,0,0,0
1714560420,28.1092,1.0125,1.0076,0
1714560421,82.4974,0,0.9484,0
1714560422,49.9915,0,0,5.9977
1714560423,99.6997,0,0.9996,0
1714560424,104.8976,0,0,0
1714560425,58.0201,0,0,0
1714560426,84.9819,0,0.9998,0
1714560427,144.8524,0.9839,1.9683,0
1714560428,77.6697,2,1,22.3958
1714560429,82.7126,0.9589,3.8368,4.7955
1714560430,41.0014,1.9998,0,12.0049
1714560431,83.564,14.9281,4.973,14.924
1714560432,75.9901,21.1031,7.0271,9.0327
1714560433,58.5289,0,3.602,0
1714560434,83.5887,0.9949,8.9573,0
1714560435,40.2014,4.8869,12.0811,0
1714560436,5.9914,0.9902,21.8699,0
1714560437,1.8176,0,44.7828,0
1714560438,0.9904,0,27.6099,0
1714560439,0.8566,0,17.2098,0
1714560440,0.8935,0,17.8815,0
1714560441,3.3609,0.8368,26.8173,0
1714560442,3.8923,0,4.8774,0
1714560443,3.8949,0,7.7894,0
1714560444,2.7771,0,23.0501,0
1714560445,2.9991,1.002,7.9791,0.9983
1714560446,1.0007,0,1.0092,0
1714560447,1.0001,0,1.0003,0
1714560448,1,0,0,0
1714560449,2.9992,64.5488,0.999,0
1714560450,1.0002,2.0022,1.0009,0
1714560451,0,0,0.9999,0
1714560452,0,0,1,0
1714560453,2.9423,0,1.96,0
1714560454,2.9965,0,0.9908,0.9891
1714560455,0.6729,0.6764,4.051,0
1714560456,0.6397,0,17.9301,0
1714560457,3.9943,2.4033,14.4006,0
1714560458,6.9215,0,2.5878,0
1714560459,1.4949,0,7.4578,0
1714560460,3.0021,0,12.1041,2.0165
1714560461,6.0014,1.0001,4.0012,0
1714560462,4.9975,0.9996,5.9547,0.9942
1714560463,2.9985,0,2.9764,0.9964
1714560464,1.3348,0.6685,2.0044,0
1714560465,0.9598,0,0,0
1714560466,1.0036,0,1.9967,0
1714560467,1.9972,0.9972,1.9966,0
1714560468,0.7901,0.7903,1.5801,0
1714560469,1.8808,0,0,0
1714560470,0.6794,0,1.3597,0
1714560471,1,0,1.0001,0.9998
1714560472,1.6671,0.8339,0,0
1714560473,10.6528,0,2.9049,0
1714560474,0.9998,0,0.9962,0.994
1714560475,0.7655,0.7705,0.7684,0
1714560476,1.7386,0,8.6952,0
1714560477,2.0001,0,0,0
1714560478,0.7276,0,0,0
1714560479,1.8868,0,1.8851,0
1714560480,0.8476,0.8554,2.5585,0
1714560481,1.7725,0,1.7705,0
1714560482,5.1928,0,1.7311,0
1714560483,0.6451,0,0.6448,0
1714560484,0.4413,0,0.4416,0
1714560485,2.9979,0.9943,4.9646,0
1714560486,0.713,0.7115,0.7125,0
1714560487,1,0,1.0001,0
1714560488,0.6534,0,0,0
1714560489,1.1757,0,0,0
1714560490,1.9996,0.9998,4.0174,1.0033
1714560491,2.9973,0.999,3.9825,0
1714560492,0,0,2.0074,0
1714560493,0.9993,0,1.9938,0
1714560494,2.0019,0,3.017,0
1714560495,0,0.9954,0,0
1714560496,1.0004,58.3938,3.0174,1.0054
1714560497,1.9906,5.6719,0.9956,0
