time,ssh,system,java,containers
1714557238,21.28516,24.86328,291.1875,99.26562
1714557239,21.28516,24.86328,291.1875,99.26562
1714557240,21.28516,24.86328,291.1875,99.26562
1714557241,21.28516,24.86328,291.1875,99.26562
1714557242,21.28516,24.86328,291.1875,99.26562
1714557243,21.28516,24.86328,291.1875,99.26562
1714557244,21.28516,24.86328,291.1875,99.26562
1714557245,21.28516,24.86328,291.1875,99.26562
1714557246,21.28516,24.86328,291.1875,99.26562
1714557247,21.28516,24.86328,291.1875,99.26562
1714557248,21.28516,24.86328,291.1875,99.26562
1714557249,21.28516,24.86328,291.1875,99.26562
1714557250,21.28516,24.86328,291.1875,99.26562
1714557251,21.28516,24.86328,291.1875,99.26562
1714557252,21.28516,24.86328,291.1875,99.26562
1714557253,21.28516,24.86328,293.0898,99.26562
1714557254,21.28516,24.86328,296.5938,99.26562
1714557255,21.28516,24.86328,307.5078,99.26562
1714557256,21.28516,24.86328,316.1289,137.20703
1714557257,21.28516,24.86328,316.1289,137.20703
1714557258,21.28516,24.86328,316.1914,118.09375
1714557259,21.28516,24.86328,316.1992,118.09375
1714557260,21.28516,24.86328,316.2617,118.09375
1714557261,21.28516,24.86328,316.3438,118.09375
1714557262,21.28516,24.86328,581.5664,118.09375
1714557263,21.28516,24.86328,318.1406,118.09375
1714557264,21.28516,24.86328,318.793,137.35156
1714557265,21.28516,91.20703,320.9609,137.35156
1714557266,21.28516,43.89453,321.7695,140.20703
1714557267,21.28516,43.89453,321.7695,140.20703
1714557268,21.28516,43.89453,321.7695,140.20703
1714557269,21.28516,34.80859,321.7695,140.20703
1714557270,21.28516,34.80859,321.7695,140.20703
1714557271,21.28516,34.80859,321.7695,140.46094
1714557272,21.28516,34.80859,321.8633,140.46094
1714557273,21.28516,34.80859,321.8633,140.46094
1714557274,21.28516,34.80859,321.8633,140.46094
1714557275,21.28516,34.80859,321.8633,140.46094
1714557276,21.28516,34.80859,321.8633,140.46094
1714557277,21.28516,34.80859,321.8633,140.46094
1714557278,21.28516,34.80859,321.8633,140.46094
1714557279,21.28516,34.80859,321.8633,140.46094
1714557280,21.28516,34.80859,321.8633,140.46094
1714557281,21.28516,34.80859,321.8633,140.46094
1714557282,21.28516,34.80859,321.8633,140.46094
1714557283,21.28516,34.80859,321.8633,140.46094
1714557284,21.28516,34.80859,321.8633,140.46094
1714557285,21.28516,34.80859,321.8633,140.46094
1714557286,21.28516,34.80859,321.8633,140.46094
1714557287,21.28516,34.80859,321.8633,140.46094
1714557288,21.28516,34.80859,321.8633,140.46094
1714557289,21.28516,34.80859,321.8633,140.46094
1714557290,21.28516,34.80859,321.8633,140.46094
1714557291,21.28516,34.80859,321.8633,140.46094
1714557292,21.28516,34.80859,321.8672,140.46094
1714557293,21.28516,34.80859,321.8672,140.46094
1714557294,21.28516,34.80859,321.8672,140.46094
1714557295,21.28516,34.85938,321.8672,140.46094
1714557296,21.28516,34.85938,321.8672,140.46094
1714557297,21.28516,34.85938,321.8672,140.46094
1714557298,21.28516,34.85938,321.8672,140.46094
1714557299,21.28516,34.85938,321.8672,140.46094
1714557300,21.28516,34.85938,321.8672,140.46094
1714557301,21.28516,34.85938,321.8672,140.46094
1714557302,21.28516,34.85938,321.8672,140.46094
1714557303,21.28516,34.85938,321.8672,140.46094
1714557304,21.28516,34.85938,321.8672,142.53125
1714557305,21.28516,34.85938,321.8672,142.53125
1714557306,21.28516,34.85938,321.8672,142.53125
1714557307,21.28516,34.85938,321.8672,142.53125
1714557308,21.28516,34.85938,321.8672,142.53125
1714557309,21.28516,34.85938,321.8672,142.53125
1714557310,21.28516,34.85938,321.8672,142.53125
1714557311,21.28516,34.85938,321.8672,142.53125
1714557312,21.28516,34.85938,321.8672,142.53125
1714557313,21.28516,34.85938,321.8672,142.53125
1714557314,21.28516,34.85938,321.8672,142.53125
1714557315,21.28516,34.85938,321.8672,142.53125
1714557316,21.28516,34.85938,321.957,142.53125
1714557317,21.28516,34.85938,321.957,142.53125
1714557318,21.28516,34.85938,321.957,142.53125
1714557319,21.28516,34.85938,321.957,142.53125
1714557320,21.28516,34.85938,321.957,142.53125
1714557321,21.28516,34.85938,324.332,142.53125
1714557322,21.28516,34.85938,324.332,142.53125
1714557323,21.28516,34.85938,324.332,142.53125
1714557324,21.28516,34.85938,324.332,142.53125
1714557325,21.28516,34.83984,322.8516,142.53125
1714557326,21.28516,34.83984,322.8516,142.53516
1714557327,21.28516,34.83984,322.8516,142.53516
1714557328,21.28516,34.83984,322.8516,142.53516
1714557329,21.28516,34.83984,322.8516,142.53516
1714557330,21.28516,34.83984,322.8516,142.53516
1714557331,21.28516,34.83984,322.8516,142.53906
1714557332,21.28516,34.83984,322.8516,142.53906
1714557333,21.28516,34.83984,322.8516,142.53906
1714557334,21.28516,34.83984,322.8516,142.53906
1714557335,21.28516,34.83984,322.8516,142.53906
1714557336,21.28516,34.83984,322.8516,142.53906
1714557337,21.28516,34.83984,322.8516,148.48438
1714557338,21.28516,34.83984,322.8516,151.92969
1714557339,21.28516,34.83984,322.8516,142.53906
1714557340,21.28516,34.83984,322.8516,142.53906
